date,station_id,surface_ha,rainfall_mm,temp_max_c,water_deficit_mm
2010-03-01,martos,68000,0.0,16.3,0.0
2010-03-01,sevilla_capital,75000,0.0,17.9,0.0
2010-03-01,ubeda,98000,0.0,15.0,0.0
2010-03-08,antequera,35000,0.0,12.5,0.0
2010-03-08,baeza,72000,0.0,9.5,0.0
2010-03-08,baza,28000,0.0,10.7,0.0
2010-03-08,cabra,52000,0.0,12.3,0.0
2010-03-08,cordoba_capital,140000,0.0,14.2,0.0
2010-03-08,ecija,42000,0.0,15.1,0.0
2010-03-08,granada_capital,55000,0.0,11.5,0.0
2010-03-08,jaen_capital,165000,0.0,12.0,0.0
2010-03-08,linares,45000,0.0,12.4,0.0
2010-03-08,lucena,88000,0.0,11.8,0.0
2010-03-08,martos,68000,0.0,11.4,0.0
2010-03-08,sevilla_capital,75000,0.0,16.3,0.0
2010-03-08,ubeda,98000,0.0,9.7,0.0
2010-03-15,antequera,35000,0.0,20.9,0.0
2010-03-15,baeza,72000,0.0,19.1,0.0
2010-03-15,baza,28000,0.0,20.3,0.0
2010-03-15,cabra,52000,0.0,22.9,0.0
2010-03-15,cordoba_capital,140000,0.0,22.9,0.0
2010-03-15,ecija,42000,0.0,24.7,0.0
2010-03-15,granada_capital,55000,0.0,20.7,0.0
2010-03-15,jaen_capital,165000,0.0,22.2,0.0
2010-03-15,linares,45000,0.0,21.5,0.0
2010-03-15,lucena,88000,0.0,22.3,0.0
2010-03-15,martos,68000,0.0,21.4,0.0
2010-03-15,sevilla_capital,75000,0.0,23.9,0.0
2010-03-15,ubeda,98000,0.0,19.5,0.0
2010-03-22,antequera,35000,0.0,18.9,0.0
2010-03-22,baeza,72000,0.0,19.2,0.0
2010-03-22,baza,28000,0.0,20.8,0.0
2010-03-22,cabra,52000,0.0,21.9,0.0
2010-03-22,cordoba_capital,140000,0.0,21.8,0.0
2010-03-22,ecija,42000,0.0,22.7,0.0
2010-03-22,granada_capital,55000,0.0,20.3,0.0
2010-03-22,jaen_capital,165000,0.0,21.4,0.0
2010-03-22,linares,45000,0.0,21.2,0.0
2010-03-22,lucena,88000,0.0,20.7,0.0
2010-03-22,martos,68000,0.0,20.5,0.0
2010-03-22,sevilla_capital,75000,0.0,22.1,0.0
2010-03-22,ubeda,98000,0.0,19.5,0.0
2010-03-29,antequera,35000,0.0,17.9,0.0
2010-03-29,baeza,72000,0.0,14.9,0.0
2010-03-29,baza,28000,0.0,17.5,0.0
2010-03-29,cabra,52000,0.0,17.4,0.0
2010-03-29,cordoba_capital,140000,0.0,19.4,0.0
2010-03-29,ecija,42000,0.0,19.8,0.0
2010-03-29,granada_capital,55000,0.0,17.2,0.0
2010-03-29,jaen_capital,165000,0.0,17.1,0.0
2010-03-29,linares,45000,0.0,17.5,0.0
